"Road 1: (64, 83)","Road 2: (0, 0)","Road 3: (2, 16)","Road 4: (0, 0)","Road 5: (29, 0)","Road 6: (0, 0)","Road 7: (2, 0)","Road 8: (0, 0)"
"Road 1: (66, 0)","Road 2: (0, 2)","Road 3: (3, 95)","Road 4: (1, 0)","Road 5: (23, 0)","Road 6: (0, 2)","Road 7: (4, 0)","Road 8: (0, 0)"
"Road 1: (65, 36)","Road 2: (0, 4)","Road 3: (5, 54)","Road 4: (2, 1)","Road 5: (20, 0)","Road 6: (0, 2)","Road 7: (6, 0)","Road 8: (0, 0)"
"Road 1: (57, 40)","Road 3: (6, 34)","Road 4: (3, 4)","Road 5: (16, 0)","Road 7: (7, 0)"
"Road 2: (85, 83)","Road 3: (0, 0)","Road 4: (0, 1)","Road 6: (6, 5)","Road 8: (5, 8)"
"Road 1: (0, 0)","Road 2: (99, 99)","Road 3: (0, 0)","Road 4: (0, 0)","Road 5: (0, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (22, 24)","Road 2: (22, 20)","Road 3: (26, 0)","Road 4: (22, 35)","Road 5: (1, 0)","Road 6: (1, 0)","Road 7: (1, 0)","Road 8: (1, 0)"
"Road 1: (99, 99)","Road 2: (0, 0)","Road 3: (0, 0)","Road 4: (0, 0)","Road 5: (0, 0)","Road 6: (0, 0)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (86, 99)","Road 2: (0, 0)","Road 3: (0, 0)","Road 4: (0, 0)","Road 5: (6, 0)","Road 6: (0, 0)","Road 7: (5, 0)","Road 8: (0, 0)"
"Road 1: (78, 99)","Road 2: (0, 0)","Road 3: (1, 0)","Road 4: (1, 0)","Road 5: (10, 0)","Road 6: (0, 0)","Road 7: (8, 0)","Road 8: (0, 0)"
"Road 1: (73, 98)","Road 2: (0, 0)","Road 3: (2, 1)","Road 4: (1, 0)","Road 5: (11, 0)","Road 6: (0, 0)","Road 7: (10, 0)","Road 8: (0, 0)"
"Road 1: (69, 90)","Road 2: (0, 1)","Road 3: (3, 4)","Road 4: (3, 2)","Road 5: (12, 0)","Road 6: (0, 0)","Road 7: (11, 0)","Road 8: (0, 0)"
"Road 1: (60, 66)","Road 3: (4, 9)","Road 4: (4, 5)","Road 5: (11, 0)","Road 7: (10, 0)"
"Road 2: (55, 55)","Road 4: (2, 0)","Road 8: (38, 40)"
"Road 1: (0, 0)","Road 2: (2, 0)","Road 4: (2, 2)","Road 7: (0, 0)","Road 8: (93, 97)"
"Road 1: (0, 0)","Road 2: (0, 0)","Road 4: (98, 99)","Road 7: (0, 0)","Road 8: (0, 0)"
"Road 1: (2, 0)","Road 2: (0, 0)","Road 4: (2, 98)","Road 7: (93, 0)","Road 8: (0, 0)"
"Road 1: (56, 59)","Road 2: (0, 0)","Road 4: (2, 40)","Road 7: (39, 0)","Road 8: (0, 0)"
"Road 1: (67, 0)","Road 2: (0, 0)","Road 4: (2, 92)","Road 7: (26, 0)","Road 8: (0, 0)"
"Road 1: (70, 48)","Road 2: (0, 1)","Road 4: (3, 36)","Road 7: (21, 0)","Road 8: (0, 0)"
"Road 1: (69, 58)","Road 2: (0, 3)","Road 4: (4, 22)","Road 7: (19, 0)","Road 8: (0, 0)"
"Road 1: (61, 48)","Road 4: (6, 18)","Road 7: (16, 0)"
