,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,viol_constr,perc_usage
32,32,15.0,-99.31370849898477,524.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
32,32,15.0,-99.31370849898477,524.0,s2,524,34.93333333333333,-99.31370849898477,-6.620913899932318,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
33,33,21.0,-171.65685424949237,1127.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
33,33,21.0,-171.65685424949237,1127.0,s2,1127,53.666666666666664,-171.65685424949237,-8.174135916642493,21,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
34,34,16.0,-153.31370849898474,620.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
34,34,16.0,-153.31370849898474,620.0,s2,620,38.75,-153.31370849898474,-9.582106781186546,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
35,35,54.0,-403.94112549695427,2081.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
35,35,54.0,-403.94112549695427,2081.0,s2,2081,38.53703703703704,-403.94112549695427,-7.480391212906561,54,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,4.0,1.0
36,36,13.0,-91.31370849898477,474.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
36,36,13.0,-91.31370849898477,474.0,s2,474,36.46153846153846,-91.31370849898477,-7.0241314229988285,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
37,37,12.0,-185.65685424949237,493.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
37,37,12.0,-185.65685424949237,493.0,s2,493,41.083333333333336,-185.65685424949237,-15.471404520791031,12,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
38,38,17.0,-61.31370849898477,700.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
38,38,17.0,-61.31370849898477,700.0,s2,700,41.1764705882353,-61.31370849898477,-3.606688735234398,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,1.0
39,39,14.0,-200.97056274847714,555.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
39,39,14.0,-200.97056274847714,555.0,s2,555,39.642857142857146,-200.97056274847714,-14.355040196319795,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
40,40,17.0,-109.65685424949238,649.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
40,40,17.0,-109.65685424949238,649.0,s2,649,38.1764705882353,-109.65685424949238,-6.450403191146611,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
41,41,14.0,-99.31370849898477,525.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
41,41,14.0,-99.31370849898477,525.0,s2,525,37.5,-99.31370849898477,-7.093836321356055,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
42,42,16.0,-105.65685424949238,599.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
42,42,16.0,-105.65685424949238,599.0,s2,599,37.4375,-105.65685424949238,-6.603553390593274,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
43,43,20.0,-228.2842712474619,948.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
43,43,20.0,-228.2842712474619,948.0,s2,948,47.4,-228.2842712474619,-11.414213562373096,20,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
44,44,14.0,-199.31370849898477,451.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
44,44,14.0,-199.31370849898477,451.0,s2,451,32.214285714285715,-199.31370849898477,-14.236693464213198,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
45,45,13.0,-91.31370849898477,571.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
45,45,13.0,-91.31370849898477,571.0,s2,571,43.92307692307692,-91.31370849898477,-7.0241314229988285,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
46,46,19.0,-120.97056274847715,667.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
46,46,19.0,-120.97056274847715,667.0,s2,667,35.10526315789474,-120.97056274847715,-6.366871723604061,19,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
47,47,14.0,-145.31370849898474,558.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
47,47,14.0,-145.31370849898474,558.0,s2,558,39.857142857142854,-145.31370849898474,-10.379550607070339,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
48,48,14.0,-99.31370849898477,434.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
48,48,14.0,-99.31370849898477,434.0,s2,434,31.0,-99.31370849898477,-7.093836321356055,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
49,49,13.0,-93.65685424949238,416.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
49,49,13.0,-93.65685424949238,416.0,s2,416,32.0,-93.65685424949238,-7.204373403807106,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
50,50,16.0,-253.31370849898474,453.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
50,50,16.0,-253.31370849898474,453.0,s2,453,28.3125,-253.31370849898474,-15.832106781186546,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,4.0,1.0
51,51,19.0,-122.62741699796952,693.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
51,51,19.0,-122.62741699796952,693.0,s2,693,36.473684210526315,-122.62741699796952,-6.454074578840501,19,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
52,52,14.0,-93.65685424949238,417.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
52,52,14.0,-93.65685424949238,417.0,s2,417,29.785714285714285,-93.65685424949238,-6.68977530353517,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
53,53,13.0,-45.31370849898477,369.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
53,53,13.0,-45.31370849898477,369.0,s2,369,28.384615384615383,-45.31370849898477,-3.4856698845372898,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,1.0
54,54,15.0,-149.31370849898477,504.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
54,54,15.0,-149.31370849898477,504.0,s2,504,33.6,-149.31370849898477,-9.95424723326565,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
55,55,21.0,-174.9705627484771,806.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
55,55,21.0,-174.9705627484771,806.0,s2,806,38.38095238095238,-174.9705627484771,-8.331931559451291,21,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
56,56,15.0,-150.0,521.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
56,56,15.0,-150.0,521.0,s2,521,34.733333333333334,-150.0,-10.0,15,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
57,57,13.0,-95.31370849898477,375.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
57,57,13.0,-95.31370849898477,375.0,s2,375,28.846153846153847,-95.31370849898477,-7.331823730691136,13,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
58,58,19.0,-167.65685424949237,858.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
58,58,19.0,-167.65685424949237,858.0,s2,858,45.1578947368421,-167.65685424949237,-8.824044960499599,19,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
59,59,19.0,-215.31370849898474,821.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
59,59,19.0,-215.31370849898474,821.0,s2,821,43.21052631578947,-215.31370849898474,-11.332300447314987,19,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,3.0,1.0
60,60,16.0,-154.97056274847714,640.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
60,60,16.0,-154.97056274847714,640.0,s2,640,40.0,-154.97056274847714,-9.685660171779821,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
61,61,14.0,-97.65685424949238,436.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
61,61,14.0,-97.65685424949238,436.0,s2,436,31.142857142857142,-97.65685424949238,-6.975489589249456,14,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
62,62,45.0,-269.31370849898474,1579.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
62,62,45.0,-269.31370849898474,1579.0,s2,1579,35.08888888888889,-269.31370849898474,-5.984749077755216,45,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
63,63,17.0,-109.65685424949238,1557.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
63,63,17.0,-109.65685424949238,1557.0,s2,1557,91.58823529411765,-109.65685424949238,-6.450403191146611,17,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
64,64,12.0,-386.62741699796953,748.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
64,64,12.0,-386.62741699796953,748.0,s2,748,62.333333333333336,-386.62741699796953,-32.21895141649746,12,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,7.0,1.0
65,65,16.0,-107.31370849898477,627.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
65,65,16.0,-107.31370849898477,627.0,s2,627,39.1875,-107.31370849898477,-6.707106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,1.0,1.0
66,66,16.0,-157.31370849898477,1152.0,s1,0,,0.0,,0,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,0.0,0.0
66,66,16.0,-157.31370849898477,1152.0,s2,1152,72.0,-157.31370849898477,-9.832106781186548,16,S2,22.742,-161.63193879768664,0.782,0,200,0.8,0.0,0,1,0.5,2.0,1.0
