,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
24,24,77.0,-1504.7838379715731,43.0,s1,43,0.5584415584415584,-1504.7838379715731,-19.542647246384067,77,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
24,24,77.0,-1504.7838379715731,43.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
25,25,42.0,-1309.4213562373097,35.0,s1,35,0.8333333333333334,-1309.4213562373097,-31.176698958031185,42,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
25,25,42.0,-1309.4213562373097,35.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
26,26,201.0,-1822.8611819065982,63.0,s1,63,0.31343283582089554,-1822.8611819065982,-9.068961104012926,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
26,26,201.0,-1822.8611819065982,63.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
27,27,136.0,-1864.2539674441618,86.0,s1,86,0.6323529411764706,-1864.2539674441618,-13.707749760618837,136,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
27,27,136.0,-1864.2539674441618,86.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
28,28,58.0,-1489.3036072312182,19.0,s1,19,0.3275862068965517,-1489.3036072312182,-25.677648400538246,58,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
28,28,58.0,-1489.3036072312182,19.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
29,29,139.0,-1788.538238691624,47.0,s1,47,0.3381294964028777,-1788.538238691624,-12.867181573321036,139,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
29,29,139.0,-1788.538238691624,47.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
30,30,201.0,-1679.4885989045679,75.0,s1,75,0.373134328358209,-1679.4885989045679,-8.355664671167004,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
30,30,201.0,-1679.4885989045679,75.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
31,31,201.0,-2143.6063479106588,69.0,s1,69,0.34328358208955223,-2143.6063479106588,-10.664708198560492,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
31,31,201.0,-2143.6063479106588,69.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
32,32,201.0,-2427.322076663197,68.0,s1,68,0.3383084577114428,-2427.322076663197,-12.076229237130335,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
32,32,201.0,-2427.322076663197,68.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
33,33,81.0,-1577.4112549695428,19.0,s1,19,0.2345679012345679,-1577.4112549695428,-19.474213024315343,81,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
33,33,81.0,-1577.4112549695428,19.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
34,34,147.0,-1595.1067811865476,45.0,s1,45,0.30612244897959184,-1595.1067811865476,-10.851066538683996,147,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
34,34,147.0,-1595.1067811865476,45.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
35,35,57.0,-1244.9604614807104,16.0,s1,16,0.2807017543859649,-1244.9604614807104,-21.841411604924744,57,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
35,35,57.0,-1244.9604614807104,16.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
36,36,88.0,-1388.1564209736039,16.0,s1,16,0.18181818181818182,-1388.1564209736039,-15.774504783790952,88,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
36,36,88.0,-1388.1564209736039,16.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
37,37,201.0,-2568.0083681642122,58.0,s1,58,0.2885572139303483,-2568.0083681642122,-12.776161035642847,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
37,37,201.0,-2568.0083681642122,58.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
38,38,168.0,-2391.9595949289333,43.0,s1,43,0.25595238095238093,-2391.9595949289333,-14.23785473171984,168,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
38,38,168.0,-2391.9595949289333,43.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
39,39,146.0,-1654.0773439350248,44.0,s1,44,0.3013698630136986,-1654.0773439350248,-11.329296876267293,146,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
39,39,146.0,-1654.0773439350248,44.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
40,40,191.0,-2262.4103884177657,62.0,s1,62,0.32460732984293195,-2262.4103884177657,-11.845080567632282,191,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
40,40,191.0,-2262.4103884177657,62.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
41,41,201.0,-2493.665222413704,84.0,s1,84,0.417910447761194,-2493.665222413704,-12.40629463887415,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
41,41,201.0,-2493.665222413704,84.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
42,42,101.0,-1754.950360212944,35.0,s1,35,0.3465346534653465,-1754.950360212944,-17.375746140722217,101,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
42,42,101.0,-1754.950360212944,35.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
43,43,185.0,-2527.498700172334,65.0,s1,65,0.35135135135135137,-2527.498700172334,-13.66215513606667,185,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
43,43,185.0,-2527.498700172334,65.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
44,44,201.0,-1496.459161653045,83.0,s1,83,0.4129353233830846,-1496.459161653045,-7.445070455985298,201,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
44,44,201.0,-1496.459161653045,83.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
45,45,53.0,-1606.048773235279,11.0,s1,11,0.20754716981132076,-1606.048773235279,-30.302807042175075,53,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,1.0
45,45,53.0,-1606.048773235279,11.0,s2,0,,0.0,,0,S1 noMyopic,123.17,-1942.5380079512709,27.01,1.0,200,0.8,0.0,0,1,0.5,0.0
