,traj_n,length,reward,time,sub_type,time_agent,avg_time,reward_agent,avg_reward,usage,type,Length,Reward,Viol,S1_Usage,t1,t2,t3,t4,t6,t7,perc_usage
25,25,112.0,-585.6568542494924,122,s1,122,1.0892857142857142,-585.6568542494924,-5.22907905579904,112,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
25,25,112.0,-585.6568542494924,122,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
26,26,158.0,-7997.313708498985,144,s1,144,0.9113924050632911,-7997.313708498985,-50.61590954746193,158,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
26,26,158.0,-7997.313708498985,144,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
27,27,85.0,-391.59797974644664,71,s1,71,0.8352941176470589,-391.59797974644664,-4.607035055840549,85,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
27,27,85.0,-391.59797974644664,71,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
28,28,136.0,-690.6274169979695,133,s1,133,0.9779411764705882,-690.6274169979695,-5.078142772043893,136,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
28,28,136.0,-690.6274169979695,133,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
29,29,32.0,-122.97056274847715,27,s1,27,0.84375,-122.97056274847715,-3.842830085889911,32,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
29,29,32.0,-122.97056274847715,27,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
30,30,144.0,-674.2842712474619,199,s1,199,1.3819444444444444,-674.2842712474619,-4.682529661440707,144,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,1.0
30,30,144.0,-674.2842712474619,199,s2,0,,0.0,,0,s1,126.622,-713.4809930420752,4.233,1.0,200,0.8,0.0,0,1,0.5,0.0
